FACT_ID,HEAD,RELATION,TAIL,TIME,ANSWER
FACT_724_1,South African National Defence Force,0,Angola,2014-03-23,Occupy territory
FACT_724_2,South African National Defence Force,Occupy territory,0,2014-03-23,Angola
FACT_724_3,South African National Defence Force,Occupy territory,Angola,0,2014-03-23
FACT_725_0,0,Accuse,Citizen (South Korea),2014-08-21,Lawyer/Attorney (South Korea)
FACT_725_1,Lawyer/Attorney (South Korea),0,Citizen (South Korea),2014-08-21,Accuse
FACT_725_2,Lawyer/Attorney (South Korea),Accuse,0,2014-08-21,Citizen (South Korea)
FACT_725_3,Lawyer/Attorney (South Korea),Accuse,Citizen (South Korea),0,2014-08-21
FACT_726_0,0,Use unconventional violence,Foreign Affairs (India),2014-05-23,Armed Gang (Afghanistan)
FACT_726_1,Armed Gang (Afghanistan),0,Foreign Affairs (India),2014-05-23,Use unconventional violence
FACT_726_2,Armed Gang (Afghanistan),Use unconventional violence,0,2014-05-23,Foreign Affairs (India)
FACT_726_3,Armed Gang (Afghanistan),Use unconventional violence,Foreign Affairs (India),0,2014-05-23
FACT_727_0,0,Make optimistic comment,Citizen (Nigeria),2014-10-31,Secretariat (Nigeria)
FACT_727_1,Secretariat (Nigeria),0,Citizen (Nigeria),2014-10-31,Make optimistic comment
FACT_727_2,Secretariat (Nigeria),Make optimistic comment,0,2014-10-31,Citizen (Nigeria)
FACT_727_3,Secretariat (Nigeria),Make optimistic comment,Citizen (Nigeria),0,2014-10-31
FACT_728_0,0,Make statement,Military Personnel - Special (India),2014-04-29,Company - Owner or Operator (India)
FACT_728_1,Company - Owner or Operator (India),0,Military Personnel - Special (India),2014-04-29,Make statement
FACT_728_2,Company - Owner or Operator (India),Make statement,0,2014-04-29,Military Personnel - Special (India)
FACT_728_3,Company - Owner or Operator (India),Make statement,Military Personnel - Special (India),0,2014-04-29
FACT_729_0,0,Engage in negotiation,Foreign Affairs (Norway),2014-09-09,Abdel Fattah Al-Sisi
FACT_729_1,Abdel Fattah Al-Sisi,0,Foreign Affairs (Norway),2014-09-09,Engage in negotiation
FACT_729_2,Abdel Fattah Al-Sisi,Engage in negotiation,0,2014-09-09,Foreign Affairs (Norway)
FACT_729_3,Abdel Fattah Al-Sisi,Engage in negotiation,Foreign Affairs (Norway),0,2014-09-09
FACT_730_0,0,"Protest violently, riot",Police (Ukraine),2014-02-25,Protester (Ukraine)
FACT_730_1,Protester (Ukraine),0,Police (Ukraine),2014-02-25,"Protest violently, riot"
FACT_730_2,Protester (Ukraine),"Protest violently, riot",0,2014-02-25,Police (Ukraine)
FACT_730_3,Protester (Ukraine),"Protest violently, riot",Police (Ukraine),0,2014-02-25
FACT_731_0,0,Sign formal agreement,Gambia,2014-01-13,Cameroon
FACT_731_1,Cameroon,0,Gambia,2014-01-13,Sign formal agreement
FACT_731_2,Cameroon,Sign formal agreement,0,2014-01-13,Gambia
FACT_731_3,Cameroon,Sign formal agreement,Gambia,0,2014-01-13
FACT_732_0,0,Consult,Radoslaw Sikorski,2014-07-16,Arseniy Yatsenyuk
FACT_732_1,Arseniy Yatsenyuk,0,Radoslaw Sikorski,2014-07-16,Consult
FACT_732_2,Arseniy Yatsenyuk,Consult,0,2014-07-16,Radoslaw Sikorski
FACT_732_3,Arseniy Yatsenyuk,Consult,Radoslaw Sikorski,0,2014-07-16
FACT_733_0,0,Make statement,Afghanistan,2014-03-06,Ministry (Afghanistan)
FACT_733_1,Ministry (Afghanistan),0,Afghanistan,2014-03-06,Make statement
FACT_733_2,Ministry (Afghanistan),Make statement,0,2014-03-06,Afghanistan
FACT_733_3,Ministry (Afghanistan),Make statement,Afghanistan,0,2014-03-06
FACT_734_0,0,Use conventional military force,Citizen (Mali),2014-01-25,France
FACT_734_1,France,0,Citizen (Mali),2014-01-25,Use conventional military force
FACT_734_2,France,Use conventional military force,0,2014-01-25,Citizen (Mali)
FACT_734_3,France,Use conventional military force,Citizen (Mali),0,2014-01-25
FACT_735_0,0,Make an appeal or request,Member of the Judiciary (Nigeria),2014-05-19,Citizen (Nigeria)
FACT_735_1,Citizen (Nigeria),0,Member of the Judiciary (Nigeria),2014-05-19,Make an appeal or request
FACT_735_2,Citizen (Nigeria),Make an appeal or request,0,2014-05-19,Member of the Judiciary (Nigeria)
FACT_735_3,Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),0,2014-05-19
FACT_736_0,0,"Arrest, detain, or charge with legal action",Men (South Africa),2014-10-22,Police (South Africa)
FACT_736_1,Police (South Africa),0,Men (South Africa),2014-10-22,"Arrest, detain, or charge with legal action"
FACT_736_2,Police (South Africa),"Arrest, detain, or charge with legal action",0,2014-10-22,Men (South Africa)
FACT_736_3,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),0,2014-10-22
FACT_737_0,0,Consult,Barack Obama,2014-07-29,François Hollande
FACT_737_1,François Hollande,0,Barack Obama,2014-07-29,Consult
FACT_737_2,François Hollande,Consult,0,2014-07-29,Barack Obama
FACT_737_3,François Hollande,Consult,Barack Obama,0,2014-07-29
FACT_738_0,0,Make an appeal or request,Government (Slovakia),2014-11-26,Andrej Kiska
FACT_738_1,Andrej Kiska,0,Government (Slovakia),2014-11-26,Make an appeal or request
FACT_738_2,Andrej Kiska,Make an appeal or request,0,2014-11-26,Government (Slovakia)
FACT_738_3,Andrej Kiska,Make an appeal or request,Government (Slovakia),0,2014-11-26
FACT_739_0,0,Accuse,Police (Kenya),2014-11-10,Citizen (Kenya)
FACT_739_1,Citizen (Kenya),0,Police (Kenya),2014-11-10,Accuse
FACT_739_2,Citizen (Kenya),Accuse,0,2014-11-10,Police (Kenya)
FACT_739_3,Citizen (Kenya),Accuse,Police (Kenya),0,2014-11-10
FACT_740_0,0,"Arrest, detain, or charge with legal action",Citizen (South Korea),2014-09-04,Police (South Korea)
FACT_740_1,Police (South Korea),0,Citizen (South Korea),2014-09-04,"Arrest, detain, or charge with legal action"
FACT_740_2,Police (South Korea),"Arrest, detain, or charge with legal action",0,2014-09-04,Citizen (South Korea)
FACT_740_3,Police (South Korea),"Arrest, detain, or charge with legal action",Citizen (South Korea),0,2014-09-04
FACT_741_0,0,Make statement,Abdikarim Hussein Guled,2014-01-28,Media Personnel (Somalia)
FACT_741_1,Media Personnel (Somalia),0,Abdikarim Hussein Guled,2014-01-28,Make statement
FACT_741_2,Media Personnel (Somalia),Make statement,0,2014-01-28,Abdikarim Hussein Guled
FACT_741_3,Media Personnel (Somalia),Make statement,Abdikarim Hussein Guled,0,2014-01-28
FACT_742_0,0,Consult,Royal Administration (Saudi Arabia),2014-09-23,Foreign Affairs (Georgia)
FACT_742_1,Foreign Affairs (Georgia),0,Royal Administration (Saudi Arabia),2014-09-23,Consult
FACT_742_2,Foreign Affairs (Georgia),Consult,0,2014-09-23,Royal Administration (Saudi Arabia)
FACT_742_3,Foreign Affairs (Georgia),Consult,Royal Administration (Saudi Arabia),0,2014-09-23
FACT_743_0,0,Threaten,Women (Argentina),2014-08-25,Criminal (Argentina)
FACT_743_1,Criminal (Argentina),0,Women (Argentina),2014-08-25,Threaten
FACT_743_2,Criminal (Argentina),Threaten,0,2014-08-25,Women (Argentina)
FACT_743_3,Criminal (Argentina),Threaten,Women (Argentina),0,2014-08-25
FACT_744_0,0,Consult,Daniel Mitov,2014-12-11,Foreign Affairs (Romania)
FACT_744_1,Foreign Affairs (Romania),0,Daniel Mitov,2014-12-11,Consult
FACT_744_2,Foreign Affairs (Romania),Consult,0,2014-12-11,Daniel Mitov
FACT_744_3,Foreign Affairs (Romania),Consult,Daniel Mitov,0,2014-12-11
FACT_745_0,0,Consult,Government (Nigeria),2014-05-22,Muslim (Nigeria)
FACT_745_1,Muslim (Nigeria),0,Government (Nigeria),2014-05-22,Consult
FACT_745_2,Muslim (Nigeria),Consult,0,2014-05-22,Government (Nigeria)
FACT_745_3,Muslim (Nigeria),Consult,Government (Nigeria),0,2014-05-22
FACT_746_0,0,Host a visit,Vincent C. Siew,2014-11-11,Taiwan Affairs Office
FACT_746_1,Taiwan Affairs Office,0,Vincent C. Siew,2014-11-11,Host a visit
FACT_746_2,Taiwan Affairs Office,Host a visit,0,2014-11-11,Vincent C. Siew
FACT_746_3,Taiwan Affairs Office,Host a visit,Vincent C. Siew,0,2014-11-11
FACT_747_0,0,Engage in negotiation,UN Security Council,2014-11-25,Iran
FACT_747_1,Iran,0,UN Security Council,2014-11-25,Engage in negotiation
FACT_747_2,Iran,Engage in negotiation,0,2014-11-25,UN Security Council
FACT_747_3,Iran,Engage in negotiation,UN Security Council,0,2014-11-25
FACT_748_0,0,Sign formal agreement,Academic Staff Union of Universities,2014-04-11,Government (Nigeria)
FACT_748_1,Government (Nigeria),0,Academic Staff Union of Universities,2014-04-11,Sign formal agreement
FACT_748_2,Government (Nigeria),Sign formal agreement,0,2014-04-11,Academic Staff Union of Universities
FACT_748_3,Government (Nigeria),Sign formal agreement,Academic Staff Union of Universities,0,2014-04-11
FACT_749_0,0,Make statement,Abu Sayyaf,2014-01-07,Military (Philippines)
FACT_749_1,Military (Philippines),0,Abu Sayyaf,2014-01-07,Make statement
FACT_749_2,Military (Philippines),Make statement,0,2014-01-07,Abu Sayyaf
FACT_749_3,Military (Philippines),Make statement,Abu Sayyaf,0,2014-01-07
FACT_750_0,0,Make an appeal or request,News Editor (Nigeria),2014-09-01,Ibrahim Shehu Shema
FACT_750_1,Ibrahim Shehu Shema,0,News Editor (Nigeria),2014-09-01,Make an appeal or request
FACT_750_2,Ibrahim Shehu Shema,Make an appeal or request,0,2014-09-01,News Editor (Nigeria)
FACT_750_3,Ibrahim Shehu Shema,Make an appeal or request,News Editor (Nigeria),0,2014-09-01
FACT_751_0,0,Deny responsibility,Amnesty International,2014-09-19,Other Authorities / Officials (Nigeria)
FACT_751_1,Other Authorities / Officials (Nigeria),0,Amnesty International,2014-09-19,Deny responsibility
FACT_751_2,Other Authorities / Officials (Nigeria),Deny responsibility,0,2014-09-19,Amnesty International
FACT_751_3,Other Authorities / Officials (Nigeria),Deny responsibility,Amnesty International,0,2014-09-19
FACT_752_0,0,Make an appeal or request,Student (Hong Kong),2014-12-03,Protester (Hong Kong)
FACT_752_1,Protester (Hong Kong),0,Student (Hong Kong),2014-12-03,Make an appeal or request
FACT_752_2,Protester (Hong Kong),Make an appeal or request,0,2014-12-03,Student (Hong Kong)
FACT_752_3,Protester (Hong Kong),Make an appeal or request,Student (Hong Kong),0,2014-12-03
FACT_753_0,0,Sign formal agreement,Iran,2014-01-23,China
FACT_753_1,China,0,Iran,2014-01-23,Sign formal agreement
FACT_753_2,China,Sign formal agreement,0,2014-01-23,Iran
FACT_753_3,China,Sign formal agreement,Iran,0,2014-01-23
FACT_754_0,0,Criticize or denounce,Chibuike Rotimi Amaechi,2014-10-23,Citizen (Nigeria)
FACT_754_1,Citizen (Nigeria),0,Chibuike Rotimi Amaechi,2014-10-23,Criticize or denounce
FACT_754_2,Citizen (Nigeria),Criticize or denounce,0,2014-10-23,Chibuike Rotimi Amaechi
FACT_754_3,Citizen (Nigeria),Criticize or denounce,Chibuike Rotimi Amaechi,0,2014-10-23
FACT_755_0,0,Accuse,Head of Government (India),2014-07-18,Citizen (India)
FACT_755_1,Citizen (India),0,Head of Government (India),2014-07-18,Accuse
FACT_755_2,Citizen (India),Accuse,0,2014-07-18,Head of Government (India)
FACT_755_3,Citizen (India),Accuse,Head of Government (India),0,2014-07-18
FACT_756_0,0,Threaten,Iraq,2014-08-18,Barack Obama
FACT_756_1,Barack Obama,0,Iraq,2014-08-18,Threaten
FACT_756_2,Barack Obama,Threaten,0,2014-08-18,Iraq
FACT_756_3,Barack Obama,Threaten,Iraq,0,2014-08-18
FACT_757_0,0,Make an appeal or request,North Atlantic Treaty Organization,2014-04-11,Chris Murphy
FACT_757_1,Chris Murphy,0,North Atlantic Treaty Organization,2014-04-11,Make an appeal or request
FACT_757_2,Chris Murphy,Make an appeal or request,0,2014-04-11,North Atlantic Treaty Organization
FACT_757_3,Chris Murphy,Make an appeal or request,North Atlantic Treaty Organization,0,2014-04-11
FACT_758_0,0,Use unconventional violence,Military (Mali),2014-11-04,Armed Rebel (Mali)
FACT_758_1,Armed Rebel (Mali),0,Military (Mali),2014-11-04,Use unconventional violence
FACT_758_2,Armed Rebel (Mali),Use unconventional violence,0,2014-11-04,Military (Mali)
FACT_758_3,Armed Rebel (Mali),Use unconventional violence,Military (Mali),0,2014-11-04
FACT_759_0,0,Accuse,Ashraf Ghani Ahmadzai,2014-09-15,Abdullah Abdullah
FACT_759_1,Abdullah Abdullah,0,Ashraf Ghani Ahmadzai,2014-09-15,Accuse
FACT_759_2,Abdullah Abdullah,Accuse,0,2014-09-15,Ashraf Ghani Ahmadzai
FACT_759_3,Abdullah Abdullah,Accuse,Ashraf Ghani Ahmadzai,0,2014-09-15
FACT_760_0,0,Accuse,Armenia,2014-10-03,Defense / Security Ministry (Azerbaijan)
FACT_760_1,Defense / Security Ministry (Azerbaijan),0,Armenia,2014-10-03,Accuse
FACT_760_2,Defense / Security Ministry (Azerbaijan),Accuse,0,2014-10-03,Armenia
FACT_760_3,Defense / Security Ministry (Azerbaijan),Accuse,Armenia,0,2014-10-03
FACT_761_0,0,Consult,Julien Paluku Kahongya,2014-06-23,Foreign Affairs (United States)
FACT_761_1,Foreign Affairs (United States),0,Julien Paluku Kahongya,2014-06-23,Consult
FACT_761_2,Foreign Affairs (United States),Consult,0,2014-06-23,Julien Paluku Kahongya
FACT_761_3,Foreign Affairs (United States),Consult,Julien Paluku Kahongya,0,2014-06-23
FACT_762_0,0,Make a visit,Abdel Fattah Al-Sisi,2014-07-08,Foreign Affairs (Mauritania)
FACT_762_1,Foreign Affairs (Mauritania),0,Abdel Fattah Al-Sisi,2014-07-08,Make a visit
FACT_762_2,Foreign Affairs (Mauritania),Make a visit,0,2014-07-08,Abdel Fattah Al-Sisi
FACT_762_3,Foreign Affairs (Mauritania),Make a visit,Abdel Fattah Al-Sisi,0,2014-07-08
FACT_763_0,0,Attempt to assassinate,Intelligence Officer (Czech Republic),2014-01-11,Citizen (Czech Republic)
FACT_763_1,Citizen (Czech Republic),0,Intelligence Officer (Czech Republic),2014-01-11,Attempt to assassinate
FACT_763_2,Citizen (Czech Republic),Attempt to assassinate,0,2014-01-11,Intelligence Officer (Czech Republic)
FACT_763_3,Citizen (Czech Republic),Attempt to assassinate,Intelligence Officer (Czech Republic),0,2014-01-11
FACT_764_0,0,Consult,Foreign Affairs (United States),2014-05-03,Nabih Berri
FACT_764_1,Nabih Berri,0,Foreign Affairs (United States),2014-05-03,Consult
FACT_764_2,Nabih Berri,Consult,0,2014-05-03,Foreign Affairs (United States)
FACT_764_3,Nabih Berri,Consult,Foreign Affairs (United States),0,2014-05-03
FACT_765_0,0,Consult,South Korea,2014-10-08,North Korea
FACT_765_1,North Korea,0,South Korea,2014-10-08,Consult
FACT_765_2,North Korea,Consult,0,2014-10-08,South Korea
FACT_765_3,North Korea,Consult,South Korea,0,2014-10-08
FACT_766_0,0,Make statement,Iran,2014-04-11,Aladdin Boroujerdi
FACT_766_1,Aladdin Boroujerdi,0,Iran,2014-04-11,Make statement
FACT_766_2,Aladdin Boroujerdi,Make statement,0,2014-04-11,Iran
FACT_766_3,Aladdin Boroujerdi,Make statement,Iran,0,2014-04-11
FACT_767_0,0,Make an appeal or request,International Monetary Fund,2014-08-05,Mohammad Nahavandian
FACT_767_1,Mohammad Nahavandian,0,International Monetary Fund,2014-08-05,Make an appeal or request
FACT_767_2,Mohammad Nahavandian,Make an appeal or request,0,2014-08-05,International Monetary Fund
FACT_767_3,Mohammad Nahavandian,Make an appeal or request,International Monetary Fund,0,2014-08-05
FACT_768_0,0,Engage in negotiation,John Kerry,2014-06-23,Iraq
FACT_768_1,Iraq,0,John Kerry,2014-06-23,Engage in negotiation
FACT_768_2,Iraq,Engage in negotiation,0,2014-06-23,John Kerry
FACT_768_3,Iraq,Engage in negotiation,John Kerry,0,2014-06-23
FACT_769_0,0,Cooperate militarily,Hezbollah,2014-05-29,Iran
FACT_769_1,Iran,0,Hezbollah,2014-05-29,Cooperate militarily
FACT_769_2,Iran,Cooperate militarily,0,2014-05-29,Hezbollah
FACT_769_3,Iran,Cooperate militarily,Hezbollah,0,2014-05-29
FACT_770_0,0,Make statement,Liberal National Party,2014-02-17,Campbell Newman
FACT_770_1,Campbell Newman,0,Liberal National Party,2014-02-17,Make statement
FACT_770_2,Campbell Newman,Make statement,0,2014-02-17,Liberal National Party
FACT_770_3,Campbell Newman,Make statement,Liberal National Party,0,2014-02-17
FACT_771_0,0,Use tactics of violent repression,Citizen (Kenya),2014-07-08,Police (Kenya)
FACT_771_1,Police (Kenya),0,Citizen (Kenya),2014-07-08,Use tactics of violent repression
FACT_771_2,Police (Kenya),Use tactics of violent repression,0,2014-07-08,Citizen (Kenya)
FACT_771_3,Police (Kenya),Use tactics of violent repression,Citizen (Kenya),0,2014-07-08
FACT_772_0,0,Consult,Business (Cameroon),2014-01-23,Ministry of Arts and Culture (Cameroon)
FACT_772_1,Ministry of Arts and Culture (Cameroon),0,Business (Cameroon),2014-01-23,Consult
FACT_772_2,Ministry of Arts and Culture (Cameroon),Consult,0,2014-01-23,Business (Cameroon)
FACT_772_3,Ministry of Arts and Culture (Cameroon),Consult,Business (Cameroon),0,2014-01-23
FACT_773_0,0,Threaten,North Korea,2014-02-13,Citizen (South Korea)
FACT_773_1,Citizen (South Korea),0,North Korea,2014-02-13,Threaten
FACT_773_2,Citizen (South Korea),Threaten,0,2014-02-13,North Korea
FACT_773_3,Citizen (South Korea),Threaten,North Korea,0,2014-02-13
FACT_774_0,0,Make an appeal or request,Citizen (Tanzania),2014-10-13,Jakaya Mrisho Kikwete
FACT_774_1,Jakaya Mrisho Kikwete,0,Citizen (Tanzania),2014-10-13,Make an appeal or request
FACT_774_2,Jakaya Mrisho Kikwete,Make an appeal or request,0,2014-10-13,Citizen (Tanzania)
FACT_774_3,Jakaya Mrisho Kikwete,Make an appeal or request,Citizen (Tanzania),0,2014-10-13
FACT_775_0,0,Use conventional military force,Children (Philippines),2014-06-02,Philippines
FACT_775_1,Philippines,0,Children (Philippines),2014-06-02,Use conventional military force
FACT_775_2,Philippines,Use conventional military force,0,2014-06-02,Children (Philippines)
FACT_775_3,Philippines,Use conventional military force,Children (Philippines),0,2014-06-02
FACT_776_0,0,Make an appeal or request,Medical Personnel (India),2014-03-31,Citizen (India)
FACT_776_1,Citizen (India),0,Medical Personnel (India),2014-03-31,Make an appeal or request
FACT_776_2,Citizen (India),Make an appeal or request,0,2014-03-31,Medical Personnel (India)
FACT_776_3,Citizen (India),Make an appeal or request,Medical Personnel (India),0,2014-03-31
FACT_777_0,0,"Arrest, detain, or charge with legal action",Associated Press,2014-08-16,Israeli Defense Forces
FACT_777_1,Israeli Defense Forces,0,Associated Press,2014-08-16,"Arrest, detain, or charge with legal action"
FACT_777_2,Israeli Defense Forces,"Arrest, detain, or charge with legal action",0,2014-08-16,Associated Press
FACT_777_3,Israeli Defense Forces,"Arrest, detain, or charge with legal action",Associated Press,0,2014-08-16
FACT_778_0,0,Consult,Fumio Kishida,2014-10-08,Foreign Affairs (Nepal)
FACT_778_1,Foreign Affairs (Nepal),0,Fumio Kishida,2014-10-08,Consult
FACT_778_2,Foreign Affairs (Nepal),Consult,0,2014-10-08,Fumio Kishida
FACT_778_3,Foreign Affairs (Nepal),Consult,Fumio Kishida,0,2014-10-08
FACT_779_0,0,Make statement,Sayed Khaiyum,2014-05-07,Prime Minister Chaudhry
FACT_779_1,Prime Minister Chaudhry,0,Sayed Khaiyum,2014-05-07,Make statement
FACT_779_2,Prime Minister Chaudhry,Make statement,0,2014-05-07,Sayed Khaiyum
FACT_779_3,Prime Minister Chaudhry,Make statement,Sayed Khaiyum,0,2014-05-07
FACT_780_0,0,Consult,Catherine Ashton,2014-11-09,John Kerry
FACT_780_1,John Kerry,0,Catherine Ashton,2014-11-09,Consult
FACT_780_2,John Kerry,Consult,0,2014-11-09,Catherine Ashton
FACT_780_3,John Kerry,Consult,Catherine Ashton,0,2014-11-09
FACT_781_0,0,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-12-19,Boko Haram
FACT_781_1,Boko Haram,0,Citizen (Nigeria),2014-12-19,"Abduct, hijack, or take hostage"
FACT_781_2,Boko Haram,"Abduct, hijack, or take hostage",0,2014-12-19,Citizen (Nigeria)
FACT_781_3,Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),0,2014-12-19
FACT_782_0,0,Host a visit,Shivraj Singh Chouhan,2014-08-10,South Africa
FACT_782_1,South Africa,0,Shivraj Singh Chouhan,2014-08-10,Host a visit
FACT_782_2,South Africa,Host a visit,0,2014-08-10,Shivraj Singh Chouhan
FACT_782_3,South Africa,Host a visit,Shivraj Singh Chouhan,0,2014-08-10
FACT_783_0,0,Decline comment,Raj Thackeray,2014-10-03,Citizen (India)
FACT_783_1,Citizen (India),0,Raj Thackeray,2014-10-03,Decline comment
FACT_783_2,Citizen (India),Decline comment,0,2014-10-03,Raj Thackeray
FACT_783_3,Citizen (India),Decline comment,Raj Thackeray,0,2014-10-03
FACT_784_0,0,Make optimistic comment,Julius Malema,2014-12-14,Winnie Madikizela-Mandela
FACT_784_1,Winnie Madikizela-Mandela,0,Julius Malema,2014-12-14,Make optimistic comment
FACT_784_2,Winnie Madikizela-Mandela,Make optimistic comment,0,2014-12-14,Julius Malema
FACT_784_3,Winnie Madikizela-Mandela,Make optimistic comment,Julius Malema,0,2014-12-14
FACT_785_0,0,"Arrest, detain, or charge with legal action",Party Member (Belarus),2014-11-23,Court Judge (Belarus)
FACT_785_1,Court Judge (Belarus),0,Party Member (Belarus),2014-11-23,"Arrest, detain, or charge with legal action"
FACT_785_2,Court Judge (Belarus),"Arrest, detain, or charge with legal action",0,2014-11-23,Party Member (Belarus)
FACT_785_3,Court Judge (Belarus),"Arrest, detain, or charge with legal action",Party Member (Belarus),0,2014-11-23
FACT_786_0,0,Host a visit,Angela Merkel,2014-11-14,New Zealand
FACT_786_1,New Zealand,0,Angela Merkel,2014-11-14,Host a visit
FACT_786_2,New Zealand,Host a visit,0,2014-11-14,Angela Merkel
FACT_786_3,New Zealand,Host a visit,Angela Merkel,0,2014-11-14
FACT_787_0,0,Make a visit,Iran,2014-02-02,Foreign Affairs (Italy)
FACT_787_1,Foreign Affairs (Italy),0,Iran,2014-02-02,Make a visit
FACT_787_2,Foreign Affairs (Italy),Make a visit,0,2014-02-02,Iran
FACT_787_3,Foreign Affairs (Italy),Make a visit,Iran,0,2014-02-02
FACT_788_0,0,Make an appeal or request,Citizen (Nigeria),2014-05-14,Adams Oshiomhole
FACT_788_1,Adams Oshiomhole,0,Citizen (Nigeria),2014-05-14,Make an appeal or request
FACT_788_2,Adams Oshiomhole,Make an appeal or request,0,2014-05-14,Citizen (Nigeria)
FACT_788_3,Adams Oshiomhole,Make an appeal or request,Citizen (Nigeria),0,2014-05-14
FACT_789_0,0,Make pessimistic comment,Iran,2014-10-08,Reza Najafi
FACT_789_1,Reza Najafi,0,Iran,2014-10-08,Make pessimistic comment
FACT_789_2,Reza Najafi,Make pessimistic comment,0,2014-10-08,Iran
FACT_789_3,Reza Najafi,Make pessimistic comment,Iran,0,2014-10-08
FACT_790_0,0,Express intent to meet or negotiate,Niger,2014-07-18,François Hollande
FACT_790_1,François Hollande,0,Niger,2014-07-18,Express intent to meet or negotiate
FACT_790_2,François Hollande,Express intent to meet or negotiate,0,2014-07-18,Niger
FACT_790_3,François Hollande,Express intent to meet or negotiate,Niger,0,2014-07-18
FACT_791_0,0,Engage in material cooperation,Government (United States),2014-06-22,Police (Greece)
FACT_791_1,Police (Greece),0,Government (United States),2014-06-22,Engage in material cooperation
FACT_791_2,Police (Greece),Engage in material cooperation,0,2014-06-22,Government (United States)
FACT_791_3,Police (Greece),Engage in material cooperation,Government (United States),0,2014-06-22
FACT_792_0,0,Sign formal agreement,Iraq,2014-02-26,Iran
FACT_792_1,Iran,0,Iraq,2014-02-26,Sign formal agreement
FACT_792_2,Iran,Sign formal agreement,0,2014-02-26,Iraq
FACT_792_3,Iran,Sign formal agreement,Iraq,0,2014-02-26
FACT_793_0,0,Appeal for de-escalation of military engagement,North Korea,2014-02-14,Xi Jinping
FACT_793_1,Xi Jinping,0,North Korea,2014-02-14,Appeal for de-escalation of military engagement
FACT_793_2,Xi Jinping,Appeal for de-escalation of military engagement,0,2014-02-14,North Korea
FACT_793_3,Xi Jinping,Appeal for de-escalation of military engagement,North Korea,0,2014-02-14
FACT_794_0,0,Make statement,Government (Kenya),2014-06-19,Alfred Mutua
FACT_794_1,Alfred Mutua,0,Government (Kenya),2014-06-19,Make statement
FACT_794_2,Alfred Mutua,Make statement,0,2014-06-19,Government (Kenya)
FACT_794_3,Alfred Mutua,Make statement,Government (Kenya),0,2014-06-19
FACT_795_0,0,Make statement,Government (Nigeria),2014-06-05,Other Authorities / Officials (Nigeria)
FACT_795_1,Other Authorities / Officials (Nigeria),0,Government (Nigeria),2014-06-05,Make statement
FACT_795_2,Other Authorities / Officials (Nigeria),Make statement,0,2014-06-05,Government (Nigeria)
FACT_795_3,Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),0,2014-06-05
FACT_796_0,0,Engage in negotiation,Ministry (Thailand),2014-12-22,Royal Thai Navy
FACT_796_1,Royal Thai Navy,0,Ministry (Thailand),2014-12-22,Engage in negotiation
FACT_796_2,Royal Thai Navy,Engage in negotiation,0,2014-12-22,Ministry (Thailand)
FACT_796_3,Royal Thai Navy,Engage in negotiation,Ministry (Thailand),0,2014-12-22
FACT_797_0,0,Consult,Taavi Rõivas,2014-11-20,North Atlantic Treaty Organization
FACT_797_1,North Atlantic Treaty Organization,0,Taavi Rõivas,2014-11-20,Consult
FACT_797_2,North Atlantic Treaty Organization,Consult,0,2014-11-20,Taavi Rõivas
FACT_797_3,North Atlantic Treaty Organization,Consult,Taavi Rõivas,0,2014-11-20
FACT_798_0,0,Consult,Defense / Security Ministry (Spain),2014-11-27,Abdelilah Benkirane
FACT_798_1,Abdelilah Benkirane,0,Defense / Security Ministry (Spain),2014-11-27,Consult
FACT_798_2,Abdelilah Benkirane,Consult,0,2014-11-27,Defense / Security Ministry (Spain)
FACT_798_3,Abdelilah Benkirane,Consult,Defense / Security Ministry (Spain),0,2014-11-27
FACT_799_0,0,Express intent to meet or negotiate,Mauritius,2014-11-21,Businessperson (Africa)
FACT_799_1,Businessperson (Africa),0,Mauritius,2014-11-21,Express intent to meet or negotiate
FACT_799_2,Businessperson (Africa),Express intent to meet or negotiate,0,2014-11-21,Mauritius
FACT_799_3,Businessperson (Africa),Express intent to meet or negotiate,Mauritius,0,2014-11-21
FACT_800_0,0,Engage in negotiation,Head of Government (India),2014-06-02,Mahinda Rajapaksa
FACT_800_1,Mahinda Rajapaksa,0,Head of Government (India),2014-06-02,Engage in negotiation
FACT_800_2,Mahinda Rajapaksa,Engage in negotiation,0,2014-06-02,Head of Government (India)
FACT_800_3,Mahinda Rajapaksa,Engage in negotiation,Head of Government (India),0,2014-06-02
FACT_801_0,0,Engage in negotiation,Environment Department/Ministry (India),2014-02-01,Oommen Chandy
FACT_801_1,Oommen Chandy,0,Environment Department/Ministry (India),2014-02-01,Engage in negotiation
FACT_801_2,Oommen Chandy,Engage in negotiation,0,2014-02-01,Environment Department/Ministry (India)
FACT_801_3,Oommen Chandy,Engage in negotiation,Environment Department/Ministry (India),0,2014-02-01
FACT_802_0,0,Make statement,Philippines,2014-10-20,Military (Philippines)
FACT_802_1,Military (Philippines),0,Philippines,2014-10-20,Make statement
FACT_802_2,Military (Philippines),Make statement,0,2014-10-20,Philippines
